,name,description,activity,status,tag
53,Аниме мерч | Магазин | K-pop одежда,"Нравится одежда с принтами любимых аниме героев? Стань ближе к субкультуре японской анимации! В нашем сообществе Вы в один клик сможете обзавестись футболками, свитшотами, майками, толстовками и другой аниме атрибутикой с изображениями таких культовых японских шедевров, как: Атака Титанов, Блич, Тетрадь Смерти, Наруто, Токийский гуль, Ванпанчмен и многое, многое другое. Для поклонников современного направления «Ахегао» у нас также имеется оригинальная подборка с самыми необычными анимационными рисунками и надписями. А если вам импонирует корейская поп-музыка, то рекомендуем заглянуть в раздел по BTS и K-POP.","Clothing, shoes",Аниме магазин мерча 💥,merch
54,СТЫД,Кринжовые истории и новости шоу-бизнеса каждый день!,Youth organization,Стыдные истории 24/7,trash
55,ЗДОРОВАЯ ЕДА RAW TO GO,"💛батончики, десерты и еда
🌱для всех, кто любит вкусно и полезно поесть
✨кафе и корнеры в Москве, СПб и на Красной Поляне, доставка по РФ и опт 

Продукция не содержит:
- Рафинированного сахара
- Заменителей какао масла
- Усилителей вкуса
- Молока
- Сои
- ГМО-продуктов

Мы создали вкусы, понятные всем.
Неважно, какого питания ты придерживаешься 💛",Healthy lifestyle,vegan/raw десерты без сахара с доставкой по России,food
56,Макияж | Косметика  Идеи и уроки,"За лучшими идеями по макияжу заходи к нам
У нас подборка макияжа на разный вкус и события
Советы по уходовой и декоративной косметике
С нами ты легко научишься делать макияж, даже если не умеешь!",Personal care,Лучшие идеи по макияжу,cosmetics
57,Street Casual Brands,,"Clothing, shoes",https://scbstore.com/new ❄⛄,clothes
58,KudaGo: Москва,"Афиша Москвы: интересные места и события. Советуем, куда сходить в Москве.

Оставить заявку по поводу размещения ВКонтакте и на сайте KudaGo:
https://business.kudago.com/?utm_source=vk&utm_medium=msk",City community,Куда пойти в Москве,events
59,Техника для авто Hasvik,"Официальное сообщество бренда товаров для автомобилистов Hasvik.

Hasvik — бренд автоаксессуаров, основанный в Норвегии в 2015 году. Продукция Hasvik была признана автовладельцами по всему миру. Наша компания имеет профессиональную исследовательскую группу которая и делает технический прорыв в области автоаксессуаров.",Auto Goods,"Мы — официальные представители бренда товаров для автомобилистов Hasvik. Присоединяйтесь, мы рады новым друзьям и Клиентам! 😃",tech
60,Brawl Stars,"Официальная страница Brawl Stars!

ПРАВИЛА:
1) Уважайте всех участников: Эта группа придерживается тех же правил, политик и условий использования, что и Brawl Stars, поэтому никакое содержание, которое идет вразрез с этими правилами или наносит вред нашим игрокам и сообществу, не допускается и строго запрещено. https://supercell.com/en/terms-of-service/

2) Категорически запрещается делиться, продавать, покупать или иным образом делиться информацией о Вашей личной учетной записи. Пожалуйста, обратите пристальное внимание на публикуемую информацию, так как она может подвергнуть ваш аккаунт риску.

3) Для того чтобы группа была приятной и динамичной, мы должны уважать это место и держать его организованным. По этой причине повторная отправка одного и того же сообщения или содержания запрещена.
4) Только Бравл Старс! Эта группа предназначена для нашего русскоязычного сообщества ""Бравл Старс"". По этой причине мы будем держать другие вопросы, не связанные с Бравлом, за пределами группы.
* Субъекты, не связанные с Бравл Старс, будут отклонены или исключены. *

5) Участвуйте без буллинга и мата. Укрепляя первое правило, мы хотим дать понять, что любая попытка провокации, оскорбительного комментария или любой общей дискриминации будет отвергнута и наказана банном с группы.",Video games,,games
61,YANAMI — Бренд одежды и мерча,"Делаем уникальный мерч по играм, фильмам, аниме и комиксам. Авторский дизайн и качественные материалы.","Clothing, shoes",Осенний сезон 🍂,merch
62,ОБОИ,,Software,,trash
63,CATERY: еда для офиса и мероприятий,"Catery.ru — удобный сервис для заказа еды в офис и на мероприятия, объединяющий лучшие кейтеринги и рестораны вашего города.",Food Delivery,Зарегистрируйся на сайте catery.ru и получи 20 000 Бонусов на свой счет!,food
64,Натуральная косметика  BOTANICUS,"Магазин натуральной косметики  botanicus-cosmetic.ru приветствует Вас! Имеем 12 лет стажа честной работы.
Ассортимент нашего магазина включает продукты высочайшего качества для лица (маски, кремы, лосьоны и т.д.), а также для волос и тела (мыло, шампуни и т.д.). И это далеко не полный перечень всех продуктов, подробнее с ассортиментом Вы можете ознакомиться в нашем каталоге. 

Специализируясь на продаже косметических продуктов,  наш интернет-магазин натуральной косметики вот уже  более 12 лет предлагает средства, которые не содержать силиконов, минерального масла, и других опасных химических добавок. Botanicus - это магазин натуральной косметики, который был создан специально для ценителей косметических изделий природного происхождения. Если Вы относитесь к людям, которые следят за здоровьем и красотой, а так же ценят собственное время и деньги, то наш магазин то, что Вам нужно!

Преимущества покупки натуральной косметики Botanicus
 
Решив приобрести косметику у нас, Вы останетесь довольны и вот почему:

Каждый продукт, представленный на страницах сайта, проходит строгий отбор. 
Изготовление косметики проводиться в соответствии с нормами и техническими условиями.
Каждый косметический элемент изготавливается по единственному рецепту разработанному специалистами с большим опытом.
Все материалы для изготовления продукта только натурального происхождения
Дополнительно на полках магазина можно найти натуральную косметику именитых брендов, которые также проходят строжайший отбор нашими специалистами. 
Наш Интернет-магазин натуральной косметики осуществляет поставки по всей стране (включая отдаленные регионы).
Цены нашего товара конкурентны и полностью соответствуют качеству продукта.
Ищите интернет-магазин натуральной косметики с доставкой по России?

Существует как минимум 10 причин, по которым Вам стоит купить натуральную косметику в интернет-магазине Botanicus:

Наш интернет-магазин натуральной косметики имеет сертификаты на всю продукцию, которая поставляется на склад напрямую от производителя.
Мы учитываем индивидуальные физиологические показатели каждого покупателя при подборе косметических средств.
Предоставление профессиональных консультаций и поддержки по любому интересующему Вас вопросу.
Гарантия  качества продукта. К каждому заказу - подарок!
Широкий выбор натуральной косметики, где каждый клиент сможет найти средство для себя.
Простота покупки. Купить все необходимое можно всего за пару кликов.
У клиента есть возможность оплатить товар любым удобным для себя способом.
Приобретая натуральную косметику в Botanicus Вы экономите собственное время и средства.
Действуют выгодные условия доставки.
Для лучшей визуализации на сайте  есть обзоры натуральной косметики.
Желание женщины быть красивой - вполне оправданно и закономерно, поэтому интернет магазин Botanicus представляет средства высшего качества, по доступной цене для любой женщины. С нами легко быть красивой!","Perfume, Cosmetics",Наш магазин: https://botanicus-cosmetic.ru,cosmetics
65,Находки на Wildberries,Делаем подборки WB для вас ^_^,"Fashion, clothing, shoes",,clothes
66,Афиша | Санкт-Петербург | Питер | СПБ,Афиша | Санкт-Петербург | Питер | СПБ,City community,,events
67,Бытовая техника и посуда Galaxy Line,"Официальная группа бренда GALAXY LINE
 
Высокое качество, продуманные конструкторские решения, современный дизайн - наши основные приоритеты при разработке продукции.
Техникой GALAXY LINE пользуется более 50 миллионов человек!

Категории товаров постоянно расширяются и на сегодняшний день включают: 
- Технику для кухни и приготовления напитков
- Технику для ухода за домом
- Технику для ухода за волосами
- Технику для ухода за одеждой
- Товары для спорта, красоты и здоровья 
- Климатическую технику
- Посуду

GALAXY LINE– свежесть твоих идей!",Home Appliances,"✅Надёжность, неповторимый дизайн, гарантия 2 года",tech
68,Brawl Stars | Clash Royale,Игровая группа,Video games,Раз,games
69,"Best Merch – атрибутика, мерч, кулоны, брелки","Создание и продажа эксклюзивных изделий из нержавеющей стали. Кулоны, серьги, брелки с различной символикой и логотипами музыкальных групп.
Возможно изготовление индивидуальных изделий на заказ.

В Москве заказ можно забрать из пункта самовывоза.
В другие города и страны высылаю по почте.
Подробная информация в меню ниже.
Для заказа пишите: vk.com/the_zmej","Accessories, jewelry",По всем вопросам писать в ЛС админу (отвечаю только в личке),merch
70,ФК «Спартак-Москва»,"Официальная страница футбольного клуба «Спартак-Москва»

Наш телеграм-канал: t.me/fcsmtg

Телеграм-канал ЖФК: t.me/wfcsm",Football Team,,trash
71,Вкусная еда | Кухня,Обсуждаем кулинарные блюда и вообще вкусную еду.,"Food, recipes",обменивайся опытом о самом вкусном в мире! :),food
72,КОСМЕТИКА И ЛАЙФХАКИ,"Добро пожаловать в группу, где девушки делятся своими лайфхаками о красоте и моде.",Personal care,,cosmetics
73,Твой WILDBERRIES | Твои Находки с WB,"Обзоры на классные вещи с сайта Wildberries, которые мы рекомендуем к приобретению","Fashion, clothing, shoes",,clothes
74,SISTEMA GALLERY,"SISTEMA GALLERY — большой проект в сфере современного искусства при поддержке российской инвестиционной компании АФК «Система». Галерея представляет проекты художников в двух зданиях с выставочными пространствами площадью 150 кв.м и 250 кв.м. Помимо выставочной деятельности галерея занимается образовательными и исследовательскими проектами, проводит лекции, мастер-классы и другие публичные программы. 
 
Миссия SISTEMA GALLERY заключается в поиске и формировании новых имен на российском и международном арт-рынке. Галерея занимается развитием художников, продвижением их на музейные выставки, биеннале, премии, ярмарки, обеспечивает полное сопровождение на всех этапах карьеры, предоставляет мастерские. 
 
SISTEMA GALLERY тесно сотрудничает с музейными институциями, организовывает совместные выставки и проекты, в которых принимают участие художники галереи.","Museum, gallery, exhibition",Галерея современного искусства,events
75,Покупка продажа ремонт техники RADNET-IT,"ПОКУПКА ПРОДАЖА РЕМОНТ: 
телефоны, ноутбуки, компьютеры, планшеты, телевизоры, мониторы,  моноблоки, комплектующие, роутеры, колонки, музыкальные центры, утюги, пылесосы, робот-пылесосы, фены, щипцы, электрочайники, мультиварки, пароварки, отпариватели, парогенераторы, синтезаторы, саундбары, проекторы, домашние кинотеатры, гироскутеры, электросамокаты, момноколесо, шуруповерты, дрели, перфораторы, лобзики, болгарки, гайковерты, видеорегистраторы, навигаторы, сабвуферы, усилители, бытовая техника и инструменты, айфоны, iphone, самсунг, ксяоми, хуавей и многое другое

— ост Театр Кукол, 1/15
 ☎ 8-917-245-04-10
— ТЦ Палитра 2 этаж
 ☎ 8-917-255-04-15",Computers,"Покупаем ВСЁ, Ремонтируем ВСЁ",tech
76,PUBG MOBILE,"Официальное сообщество русскоязычной версии игры PLAYERUNKNOWN'S BATTLEGROUNDS MOBILE
Игра, в которой 100 игроков на отдаленном острове борются за победу и свою жизнь.

Скачать игру: https://bit.ly/PUBGMaftermathRU 

https://apps.rustore.ru/app/com.tencent.ig

PUBG MOBILE - мобильная игра в жанре Battle Royale, разработанная LIGHTSPEED STUDIOS совместно с Tencent Games и KRAFTON, Inc. и официально лицензированная PLAYERUNKNOWN'S BATTLEGROUNDS.

По любым вопросам и замечаниям пишите на: service@pubgmobile.com

Для бизнес сотрудничества: pubgmobile_business@tencent.com

Официальный сайт: https://www.pubgmobile.com

Официальный сайт для активации кодов:
https://www.pubgmobile.com/redeem

Купить UC: https://vk.cc/c6eoRj",Games,Это не просто игра - это КОРОЛЕВСКАЯ БИТВА!,games
77,АНТИХАЙП МЕРЧ,Здесь торгуют только истинным оригинальным мерчем от Антихайпа и Славы КПСС. ВСЕ ЗАКАЗЫ ОФОРМЛЯЮТСЯ НА САЙТЕ АНТИХАЙП.РФ,"Clothing, shoes",АНТИХАЙП.РФ,merch
78,Тинькофф,"Третий банк России по количеству розничных активных клиентов.

Тут — акции, анонсы и советы по всем продуктам экосистемы, а заодно полезные статьи для хорошей жизни.","Bank, Financial Institution",Он такой один,trash
79,Фудшеринг - еда даром | Новосибирск,"[club35469325|Фудшеринг - еда даром | Новосибирск] - это интернет-площадка, где вы можете поделиться продуктами, которые: 
- стоят без дела 
- купили в избытке
- не понравились по вкусу 
- истекает срок годности, но пригодны к использованию 
- остались после праздников и не в силах съесть
- просто не успеваете съесть

[club35469325|Фудшеринг] (англ. food и sharing) - проект по ""спасению"" абсолютно нормальной, съедобной, вкусной еды, которую собрались выбросить в помойку (и каждый день тоннами туда выбрасывают), потому что так предписывает закон. 

Подобная практика широко распространена в Германии, Швеции, Чехии, Австрии и других европейских странах.","Food, recipes","Еда существует для того, чтобы ее есть, а не выбрасывать.",food
80,девочки и косметика,"Хочешь научиться краситься так, чтобы все проходящие мимо мальчики свисали свои рты глядя на тебя? Тогда тебе к нам! Здесь мы научим тебя всем главным тонкостям и особенностям грамотного макияжа.",Personal care,косметос | обзоры | товары с вб | отзывы,cosmetics
81,МУЗЕЙ AZ,"Музей AZ — это современный музей, арт-лаборатория, в пространстве которой разворачивается яркое и динамичное повествование о творчестве «неофициальных художников» второй половины ХХ века.
⠀
Создатели музея — коллекционер и меценат Наталия Опалева и куратор Полина Лобачевская. Сегодня коллекция Музея насчитывает более 3500 работ.
⠀
Миссия Музея AZ — актуализация наследия неофициального русского искусства второй половины ХХ века.
В Музее нет постоянной экспозиции — выставки сменяют друг друга, каждый раз заново открывая творчество шестидесятников.","Museum, gallery, exhibition",Современный музей о советском неофициальном искусстве второй половины XX века,events
82,Техника | Покупка | Обмен | Продажа,"ПЛОЩАДКА ПОКУПКИ/ ПРОДАЖИ/ ОБМЕНА ТЕХНИКИ
⌚📱💻⌨🖱🖥📸🖨📹 🎮🎧☎💽💿📞🔌📡

Администрация группы оставляет за собой право удалять любые сообщения, банить любых пользователей и совершать любые действия в пределах данной группы.
Администрация группы не обязана отчитываться о своей деятельности забаненным, незабаненным, администраторам других групп, и кому угодно.
Действия администратора подписчиками не обсуждаются ибо всё делается во благо группы.
Вступление в группу и/или использование любых её ресурсов обозначает полное и безоговорочное согласие со всеми её правилами. 

Оставьте Заявку на ремонт/выкуп техники 
нашему сервисному центру и мы оперативно свяжемся с вами https://vk.cc/93KZ4a

❗НИЖЕ ПРИВЕДЕНЫ ПРАВИЛА ГРУППЫ❗
✅Уважение ко всем участникам!
❌БАН ЗА МАТ И ОСКОРБЛЕНИЯ!

✅Реклама групп/пабликов согласуется с администратором.
❌Объявления, содержащие несогласованную рекламу иных сообществ будут удалены.

Примерная форма для продажи:
Название: Марка и модель
Цвет: Цвет 
Память: Объём памяти
Комплект: Есть (что входит в комплект)/ Нет
Неисправности: Есть (какие)/ Нет
Цена: Ваша цена
Торг: Да/ Нет
Обмен: Да/ Нет.
Место осмотра: Возможное место встречи/ Доставка по договорённости
Доп.инфо.: Информация, которую на ваш взгляд необходимо указать
Фото: ОБЯЗАТЕЛЬНО ПРИКРЕПЛЕНИЕ ФОТО ВАШЕГО УСТРОЙСТВА!",Repair work,Подписаны 7 ваших друзей,tech
83,PLAYERUNKNOWN'S BATTLEGROUNDS,"Купить G-Coins в официальном магазине: https://pubg.info/webshop_bg

PUBG: BATTLEGROUNDS - это королевская битва! Залетай в Steam, игра бесплатная: https://pubg.info/3HOYcmS",Video games,"«И обедом куриным, и духом единым, сплотит нас игра и побед череда!» (с) Алексей Иисус",games
84,Lida МЕРЧ,мерч артиста LIDA,"Clothing, shoes",,merch
85,Сокращено,"Подпишись, не пожалеешь 🔥","Show, program",Без преувеличений,trash
86,Еда из Духовки,"Аппетитная и здоровая еда – это не только благополучие в доме, но еще здоровье и замечательное настроение. Приготовить такую еду в духовке – сплошное удовольствие.",Public page,,food
87,Косметика оптом MCosmetic,"❗️УСЛОВИЯ РАБОТЫ И ЧАСТЫЕ ВОПРОСЫ❗️
1. Где вы находитесь?
-Мы находимся Адрес Г.Москва МКАД 14км рынок Садовод ‘ линия 6 контейнер 67.

2. Как оформить заказ?
-Отправьте в личные сообщения фото товара с количеством, или делаете альбом и присылаете ссылку на альбом (подписывать количество под каждое фото).
Мы уточняем по наличию и считаем сумму заказа.
Вы оплачиваете, Мы отправляем 💋
 
3. Есть ли самовывоз штучно?
-Нету , минималка самовывоз 
От 1 единицы можно через посредника заказывать. 💟
ОТПРАВКА ПО РЕГИОНАМ МИНИМАЛКА 3000₽
4. У нас 100% предоплата на карту Сбербанка. 
5. Когда отправка?
-Отправка производится на следующий день после оплаты (кроме суббота, воскресенье) 
6. Какими способами отправляете?
-Отправляем тк ПЭК, Байкал сервис, Виктория,СДЭК, Энергия,,Деловые линии, КИТ (есть возможность отправки другими ТК, если это принципиальный вопрос). -доставка до ТК 200 р , саму доставку оплачиваете сами при получении Вашего груза. (стоимость доставки и сроки уточните в ТК). 

Почта так же 200₽ до почты 
Также отправляем автобусами, находящимися на территории ТК Садовод 
🖤Обмен товара только в магазине🖤
Нет гарантии на оборудования, все проверяется перед отпрвкой🥰
И ещё 💟👌🏻
Не принимаются слова что в заказах чего то не хватило без ❗️видио ролика❗️где вы открываете нами отправленную и нами запакованную посылку💎
Сделав у меня заказ, Вы подтверждаете, что ознакомлены и согласны со всеми правилами и условиями!!!
И ещё можно сделать заказ по ватсапу и Вайбер 
+79254724614          МАЛИК    ✅ОПТОМ✅ можно на этот номера 👇🏻
+79859650021   Мансур
+79969796198   Алик 
+79030100261 Абдул 
Теперь у нас есть ещё страница на маникюра и педикюра https://vk.com/id562547678
👍👍👍🌹🌹","Perfume, Cosmetics","Косметика: Kylie, HudaBeauty, MAC, AnastasiaBeverlyHills и многое другое!",cosmetics
88,VK Музыка,"Официальное сообщество VK Музыки.

• Как оформить подписку: vk.com/@vkmusic-subscription
• Рассказать редакции о своём релизе: https://vk.com/app5708398_-147845620
• Карточки музыкантов: vk.com/@vkmusic-musicians-cards
• Задать вопрос: vk.cc/musicsupport",Cultural center,Прислушайтесь к звёздам,events
89,ПРОДАЖА | ОБМЕН | ВЫКУП | ТЕХНИКА МОСКВА,"Выставляйте свою технику на продажу или обмен! Так же в группе действует выкуп! 
Как выставить обьявление?
1. Указываете тип объявления: (выкуп/продажа)
2. Добовляете фото товара 
3. Описание товара
4. Цену 
Ваше объявление будет опубликовано в течении дня, либо вам поступит предложение по выкупу устрова сразу! 
Выгодных вам покупок и продаж! 
С уважением, администрация!",Friends,,tech
90,PUBG LITE | ВОЗРОЖДЕНИЕ,"⭐️ МЫ ВОЗРОЖДАЕМ PUBG LITE ⭐️

❤️ ДОБРО ПОЖАЛОВАТЬ! ПОДПИШИСЬ!!! ❤️

👉СКАЧАТЬ PUBG LITE👈
ССЫЛКА: ► https://litepubg.ru/download/

📛СЕРВЕР ДИСКОРД📛
ССЫЛКА: ► https://discord.gg/EWgJHnz",Video games,Сообщество и поддержка СНГ игроков! ✔,games
91,A4SHOP.RU,"A4shop — официальный магазин одежды и мерча от Влада Бумаги

🥼👖Что у нас есть: футболки, брюки, худи, аксессуары и даже постельное белье! 

🌎Куда доставляем: Влад благословил доставку по всему миру, даже до твоей квартиры 

👉🏻Где посмотреть — переходи по ссылке на сайт и выбирай любимый мерч от Влада А4","Clothing, shoes",,merch
92,Хайпач,"Хайповые новости со всего мира. Здесь ты найдешь свежие новости, последние события, и только правдивую информацию.",Fan community,Хайповые новости со всего мира,trash
93,Промокоды Яндекс Еда,"Получите промокоды на Яндекс Еда и сэкономьте на заказе. Воспользуйтесь промокодами на первый заказ или повторный заказ. Бесплатная доставка и вкусная еда ждут вас!
Группа не является официальной.
https://eda.yandex.ru",Healthy lifestyle,,food
94,Подслушано Косметика/Отзывы о косметике,"🔥За дублирование предложек в https://vk.com/overhear_cosmetics и https://vk.com/cosmeticba  БАНИМ в обоих группах БЕЗ ПРЕДУПРЕЖДЕНИЯ, размещайте предложенные новости только в одной группе и добавляйте фотографии/изображения к тексту с отзывом или вопросом!!🔥

🔥Девочки внимание!!! Читайте закрепленный пост!!!🔥

Правдивые отзывы о косметике. Девочки и мальчики, коих среди нас тоже немало,  здесь написаны хэштеги, по которым удобно ориентироваться в нашей группе и искать посты на необходимую тему, а также их нужно добавлять под своими постами, когда хотите поделиться с нами опытом использования тех или иных продуктов.  

1. Девушки, если вы хотите задать вопрос, тогда в хэштегах пишите 
 #вопрос@overhear_cosmetics и зона применения.

Например:
#брови@overhear_cosmetics
#волосы@overhear_cosmetics 
#глаза@overhear_cosmetics  
#губы@overhear_cosmetics 
#лицо@overhear_cosmetics
#ноги@overhear_cosmetics  
#ногти@overhear_cosmetics 
#парфюм@overhear_cosmetics 
#ресницы@overhear_cosmetics 
#руки@overhear_cosmetics 
#тело@overhear_cosmetics #ротизубы@overhear_cosmetics 
#эпиляция@overhear_cosmetics 
 

И еще хэштег, связанный с различными процедурами вроде массажа, солярия, карвинга, ботокса и поиска мастеров
#процедуры@overhear_cosmetics 

А также вопросы, связанные с кистями, бьюти-боксами, косметичками, фенами, расческами и пр.
#аксессуары@overhear_cosmetics 

И еще, как мы заметили, вы любите привозить косметику из других стран. Для этого теперь специальный хэштег #чтопривезти@overhear_cosmetics
А для того, чтобы вы делились полезными сайтами появился хэштег #гдекупить@overhear_cosmetics

2. Если же вы пишите отзыв, тогда в хэштегах указываете название продукта (не фирму производителя и не торговую марку).

Например, сейчас есть хэштеги:

#автозагар@overhear_cosmetics 
#базаподмакияж@overhear_cosmetics
#бальзамдляволос@overhear_cosmetics
#бальзамдлягуб@overhear_cosmetics
#блашер@overhear_cosmetics
#блескдлягуб@overhear_cosmetics
#бомбадляванны@overhear_cosmetics
#воскдляволос@overhear_cosmetics 
#гельдлябровей@overhear_cosmetics
#гельдляволос@overhear_cosmetics 
#гельдлядуша@overhear_cosmetics
#гельдляинтимнойгигиены@overhear_cosmetics 
#гельдлятела@overhear_cosmetics 
#гельдляумывания@overhear_cosmetics
#глина@overhear_cosmetics
#дезодорант@overhear_cosmetics
#защитаотсолнца@overhear_cosmetics
#зубнаяпаста@overhear_cosmetics
#карандашдлябровей@overhear_cosmetics
#карандашдляглаз@overhear_cosmetics
#карандашдлягуб@overhear_cosmetics
#комплекспоуходу@overhear_cosmetics
#кондиционердлятела@overhear_cosmetics
#консилер@overhear_cosmetics
#краска@overhear_cosmetics 
#кремдлязагара@overhear_cosmetics
#кремдлялица@overhear_cosmetics
#кремдляног@overhear_cosmetics
#кремдлярук@overhear_cosmetics
#кушон@overhear_cosmetics
#лакдляногтей@overhear_cosmetics
#лосьон@overhear_cosmetics
#маскадляволос@overhear_cosmetics
#маскадлялица@overhear_cosmetics
#масло@overhear_cosmetics 
#матирующиесалфетки@overhear_cosmetics 
#мицеллярнаявода@overhear_cosmetics
#молочкодлялица@overhear_cosmetics
#муссдлялица@overhear_cosmetics 
#мыло@overhear_cosmetics
#ополаскивательдлярта@overhear_cosmetics
#оттеночныйгельдляволос@overhear_cosmetics
#палетка@overhear_cosmetics
#патчи@overhear_cosmetics  
#пенадляванны@overhear_cosmetics 
#пенкадляумывания@overhear_cosmetics
#пилингдлялица@overhear_cosmetics
#подводкадляглаз@overhear_cosmetics
#помада@overhear_cosmetics
#помададлябровей@overhear_cosmetics
#пудра@overhear_cosmetics
#румяна@overhear_cosmetics
#салфеткидлязагара@overhear_cosmetics
#скатка@overhear_cosmetics
#скрабдлялица@overhear_cosmetics
#скрабдляног@overhear_cosmetics
#скрабдлятела@overhear_cosmetics
#скульптордляли",Personal care,"🔥 Теперь у нас есть косметическая БАРАХОЛКА, где вы сможете купить/продать косметику 🔥",cosmetics
95,NIKE DRILL БАРАХОЛКА,Площадка для размещения вещей от проверенных продавцов! Обязательно читайте правила сообщества!,"Fashion, clothing, shoes",Торговая Площадка,clothes
96,MOTHERLAND,"Мы пишем про лучшую отечественную музыку с 2012 года. 

А также — мы делаем один из крупнейших независимых фестивалей Москвы, мы организуем шоукейсы, мы одни из первых кураторов Музыки ВКонтакте в направлении «Инди». В любом случае мы открываем и поддерживаем хорошую независимую музыку. 

Если хотите опубликовать свой релиз: https://vk.com/@mymotherland-release",Indie,,events
97,Техника электроника ноутбуки телефоны Объявления,"✅Объявления купли-продажи, ноутбуки, техника, телефоны, реклама в Сургуте и округе ! ХМАО !
А так же недвижимость !
Указываем город ! В объявлении !
Для подачи объявления вы должны быть подписаны на группу !
Обычное Рекламное, коммерческое объявление 50р.💲
С репостом в группы и на странички 100р.💲
Закрепить объявления в шапке, сверху над всеми объявлениями ЧАС-50 Руб. а если-Сутки 300 Руб. !💰
✅Оплата по 4276672403241024 СБЕРБАНК✅
, или через кнопки снизу ""подержать нас"", ""пожертвовать"".
Так же через вкpay.
ПО ВОПРОСАМ РЕКЛАМЫ ОБРАЩАТЬСЯ- через кнопки сообщения, связаться или по ссылке https://vk.com/dmitry.alexandrovich2019
#объявления #бесплатно #ЯНАО #Тюмень #Ханты #ХМАО #ЮГРА #Сургут #Нефтеюганск #Когалым #Мегион #Нижнивартовск #Радужный #Лянтор #продам #отдам #обмен #даром #реклама #особняк #коттедж #дом #квартира #комната #дача #аренда #сдам #работа #техника #НЕДВИЖИМОСТЬ #купи, #продай 4276672403241024 СБЕРБАНК✅",Classifieds,"УСЛУГИ ПО КУПЛЕ, ПРОДАЖЕ, СКУПКЕ. НЕ ЗАБУДЬТЕ ПОДПИСАТЬСЯ,  ПРИГЛАСИТЬ ДРУЗЕЙ ! РЕКЛАМА В СООБЩЕСТВЕ 50р 💰 4276672403241024 СБЕРБАНК ✅ 💲",tech
98,PUBG MOBILE ПОИСК ТИММЕЙТА КЛАНА ПАБГ МОБАЙЛ ИЩУ,"PUBG MOBILE ПОИСК ТИММЕЙТА КЛАНА ПАБГ МОБАЙЛ ИЩУ
🔵 РЕКЛАМА | ТОРГОВЛЯ | СПАМ | ФЛУД | ССЫЛКИ | СООБЩЕНИЯ НЕ ПО ТЕМЕ ЗАПРЕЩЕНЫ!
🔴 ЗА СТЕНОЙ СЛЕДИМ. РАЗБАНА НЕТ!

Нас ищут по запросам:
pubg скачать
pubg mobile
pubg mobile скачать
pubg аккаунт
пубг
пубг мобайл
pubg mobile аккаунт
пабг мобайл купить
pubg mobile купить
скачать pubg lite на пк
pubg mobile на пк игра
pubg бесплатно
pubg официальный
pubg сайт
pubg 2023 pubg бесплатно
pubg официальный сайт
pubg mobile uc
uc бесплатно
раздача
бесплатно
пабг мобайл
пабг мобайл аккаунт",Video games,"Тут можно найти тиммейта, напарника, клан и даже вторую половинку в игре Pubg Mobile",games
99,RevengeMeow / заказы на мерч открыты <3,"-Крафтер анимационного контента
-Стикермейкер для VK
-Делаю мерч
-Стримлю на Twitch
https://www.twitch.tv/revengemeow
Анимационные теги:
#анимация_revengemeow #animation_revengemeow #animation #анимация","Museum, gallery, exhibition",,merch
100,Пустые мемы | Шаблоны мемов,"Умеешь пилить крутые мемы? Го к нам!
Шаблоны мемов найдешь в этом паблике.",Humor,мастерская мемов,trash
101,Слобода. Живая еда,"«Живая» еда – это то, что питает нас изнутри, дает жизненные силы и энергию каждый день. Свежие отборные ингредиенты, качество которых подтверждено системой «Органик-контроль», становятся натуральными продуктами «Слобода» - золотистыми растительными маслами, аппетитными майонезами, соусами и кетчупами - чтобы каждый мог ощутить пользу «живой» еды, насладиться ее чистым вкусом, почувствовать бережную заботу природы.

Для нас очень важно знать ваше мнение о нашей продукции. Задавайте свои вопросы и делитесь впечатлениями здесь: https://vk.com/topic-44453982_49170174

Наш Телеграм-канал: https://t.me/sloboda_russia","Food, drink","Чтобы каждый мог ощутить пользу «живой» еды, насладиться ее чистым вкусом и почувствовать бережную заботу природы!",food
